Predicted,Target
360,400
240,240
270,270
240%,240%
1:2,1:2
18,122
21.50%,21.50%
5,3
40,6.25
180,80
78,81
18,60
70,200
16000,16000
360,360
30%,30%
144,220
113%,113%
909,945
Cannot be determined,33
3:5,3:5
1.62,1.62
56,20
50,50
150,150
3000,1900
43%,43%
32,32
54,54
22,22
4.17,4.17
33.75,126
30,42
450,450
28,28
34%,32.50%
1000,2788
390,390
21,21
61,2
16,7
40,40
5:8,1:4
200%,200%
8,3.5
30,18.25
250,375
30,30
3:2,3:2
9,14
20,20
35%,35%
2,2
26%,26%
22.22%,28.60%
30,20
17,17
30,30
2:01,1:05
34,163
16,71
$21.60,$22.40
30,5
88,16
5:8,5:8
0.3,0.3
2.24,1.58
80,80
20 days,18 days
$115.80,$115.80
12,12
"$5,714","$5,714"
52,52
7.69,7.69
375,375
43,43
$150,$150
Infinite,3
25,26
5:14,5:14
10000,10000
240 meters,270
10 units,10 units
9.6,9.6
10 cans,15 cans
5740,5740
Rs. 36,4000
4,4
3^3,81
1:03,1:06
140,140
216,216
56,56
0.9,0.9
24 seconds,11.7
308 cmÂ²,42 cm 2'
0,1
12100,12100
20 and 21,20 and 21
62.83 cm,62.83 cm