Predicted,Target,Category
360,400,gain
240,240,general
270,270,general
240%,240%,gain
1:2,1:2,other
18,122,gain
21.50%,21.50%,gain
5,3,physics
40,6.25,gain
180,80,general
78,81,general
18,60,physics
70,200,general
16000,16000,general
360,360,geometry
30%,30%,general
144,220,general
113%,113%,general
909,945,other
Cannot be determined,33,gain
3:5,3:5,physics
1.62,1.62,general
56,20,general
50,50,gain
150,150,gain
3000,1900,physics
43%,43%,general
32,32,general
54,54,physics
22,22,general
4.17,4.17,gain
33.75,126,physics
30,42,physics
450,450,gain
28,28,general
34%,32.50%,gain
1000,2788,gain
390,390,physics
21,21,other
61,2,general
16,7,general
40,40,general
5:8,1:4,other
200%,200%,other
8,3.5,physics
30,18.25,physics
250,375,general
30,30,gain
3:2,3:2,gain
9,14,geometry
20,20,physics
35%,35%,general
2,2,other
26%,26%,gain
22.22%,28.60%,general
30,20,physics
17,17,general
30,30,physics
2:01,1:05,physics
34,163,general
16,71,general
$21.60,$22.40,gain
30,5,geometry
88,16,geometry
5:8,5:8,general
0.3,0.3,general
2.24,1.58,general
80,80,physics
20 days,18 days,physics
$115.80,$115.80,general
12,12,physics
"$5,714","$5,714",gain
52,52,general
7.69,7.69,physics
375,375,general
43,43,gain
$150,$150,gain
Infinite,3,general
25,26,general
5:14,5:14,general
10000,10000,physics
240 meters,270,physics
10 units,10 units,geometry
9.6,9.6,gain
10 cans,15 cans,general
5740,5740,general
Rs. 36,4000,general
4,4,general
3^3,81,general
1:03,1:06,probability
140,140,other
216,216,physics
56,56,general
0.9,0.9,general
24 seconds,11.7,physics
308 cmÂ²,42 cm 2',geometry
0,1,general
12100,12100,gain
20 and 21,20 and 21,physics
62.83 cm,62.83 cm,physics
55.25,55.25,gain
86400,86400,gain
3:7,3:7,physics
$2.33,2.5,gain
35,32.34,physics
24/29,24/49,other
48,48,general
11680,11680,gain
17,17,gain
48,48,gain
32550,32550,general
35,35,general
200,290,general
7/16,7/16,general
4,4,general
16000,14000,general
48,48,general
3/8,3/8,general
30,30,general
1/5,1/5,general
48,1.3,physics
17,17,general
34,34,gain
12.8,60,physics
120,120,general
53,53,other
78,78,general
95,95,physics
30,42,other
1280,1280,gain
32,32,geometry
50,65,general
200,600,gain
2,2,general
200,185.5,other
65,30,general
7.8,7.8,general
42.85,42.85,general
12,12,physics
8:9,32 : 45,gain
84,84,physics
88,88,other
5,4,general
169,169,geometry
5,5,gain
none,none,geometry
50,50,gain
36/11,36/11,physics
1,1,physics
-11,-11,general
2.469,2.469,general
1/2,1/2,probability
26,s.65,gain
99,99,general
1,1,general
4795.93,s.4800,gain
15.56,15.56,physics
372,372,general
42,42,physics
$156,$156,gain
56,56,physics
24%,20,gain
72 minutes,48,physics
18,18,physics
8.25,8.25,physics
12,12,gain
4/13,4/13,general
400,400,gain
20,21,geometry
7/27,7/27,general
68,68,general
6,6,other
240 km,840,physics
1/4,1/4,general
1536 sq cm,1536 sq cm,geometry
20 cm,40 cm,geometry
Rs. 59392,64800,general
6.6,6.6,general
40%,66+2/3%,gain
24,24,general
50,50,general
4 months,6,general
"55,543,445",55544445,general
"1,949,209",1951609,general
26,26,general
3.8,3.8,physics
1/6,5/17,general
Rs. 25.25,21.6,gain
11/120,11/120,general
24.75%,2900/129,gain
5.76,5.76,geometry
9 hours,5,physics
233,233,physics
140 kmph,35 kmph,physics
275 people,650,general
8,4,general
300,300,general
700 m,280,physics
3,3,gain
6,6,other